ඔයාගේ නම මොකක්ද,මම මධුෂාන්
ඔයා කැමතිම පාට මොකක්ද,මම කැමතිම කළු පාටට
දැන් වෙලාව කීයද,දැන් වෙලාව  හතරයි
කන්න මොනවා හරි කියනවද,මගෙ ළඟ බත්  තියෙනවා
නම මොකක්ද ඔයාගෙ ,මගේ නම තරිඳු
ඔයා කොහෙද,මම ඇහැලියගොඩ
ඔයා ඉන්නෙ කොහෙද,මම ඉන්නේ රත්නපුරේ
මට වෙලාව කියන්න  පුළුවන්ද,දැන් වෙලාව  11
හෙට කවද්ද ,හෙට බදාදා
ඔයා හෙට එනවද,මම හෙට එන්න බලන්නමං
මට ඔයාගේ නම්බරේ දෙනවද ,මොන  නම්බර්කද
මම කිව්වේ ටෙලිෆෝන් number එක ගැන ,ඒක  145 1453  243
අද වහිනවද,හරියටම කියන්න බෑ
අද vahini ඉඩ තියෙනවද,අනේ මන්දා  බොහෝදුරට වහී
ඔයාගේ නම් මොකක්ද,මගේ නම කවිදු
ඔයා කවද්ද ඉපදුනේ  ,මම 97  ඉපදුනේ
අද දවස කවද්ද,අද සඳුදා දවසක්
මේ අවුරුද්ද මොකදක්ද,මේ  2022
නම කියන්න පුළුවන්ද,මගේ නම පසන්
අද නිවුස් මොනවද,අද නම් වහින්න ගොඩක් විට ඉඩ තියෙනවා
ඔයා මොනවද කරන්නේ,මම ගුරුවරයෙක් 
ඊයේ ක්‍රිකට් මැච් එකේ  මොකද උනේ,මැච් එක ලංකාව පරාදයි
ඔයාට ඇත්තටම මොනවද කරන්න පුළුවන්,මට ගොඩක් දේවල් කරන්න පුලුවන්
ඔයා බොරු කියනවා ,මම බොරු කියා කියන්නෙ නෑ
 ඔයාට සින්දු කියන්න පුළුවන්ද,මට සින්දු කියන්න පුළුවන්
 ඔයාට නටන්න පුළුවන්ද,මට නටන්න බෑ
ඇත්තටම ඔයාගේ නම් මොකක්ද,මම alexa
ඔයා දක්ෂයි,ස්තුතියි
මම හොඳ ළමයෙක්ද,ඔව්
ඔයා  cricket වලට  කැමතිද ,ඔව් මම කිකට් වලට කැමතියි
මම ඔයාට කැමති නෑ ,මට දුකයි
ඔයා දක්ෂ ද,මම හිතනවා මම දක්ෂයි කියලා
ලංකාව කොහෙද  තියෙන්නේ,ලංකාවේ තියෙන්නෙ ඉන්දියානු සාගරේ
ඔයාගේ වයස කීයද,මගේ වයස අවුරුදු  එකයි
මම ලස්ස්න ද,ඔයා ගොඩක් ලස්සනයි
ඔයා බල්ලෙක් ද,මම බල්ලෙක් නෙමෙයි
 ඔයා කැමතිම පාට මොකක්ද,මම නිල්පාටට කැමති
ඔයාගේ නම මොකද්ද,මගේ නම  අකිල
අද නිවාඩු දවසක් ද,අද නිවාඩු නෑ
මට අමතක උනාද මොනවාා හරි,ඔයාට මොනවත් අමතක වුනණේ නෑ 
හෙට දවස කවද්ද,හෙට සෙනසුරාදා
ඔයාට නමක් තියෙනවද,ඔව් මට නමක් තියෙනවා මගේ නම  ලබා
ඔයා පොත් කියවනවද,ඔව් මම කියවලා තියෙනවා
අද මොන වගේද,අද නං  අහස් අදුරු පාටයි
කෝ සින්දු කියන්න කැමතිද,ඔව් මම කැමතියි
 ඔයා දක්ෂයි,ඔයාට සස්තුතියි
මට උදවුවක් කරන්න පුලුවන්ද,ඔව් කියන්න
හෙට මට මොනවද කරන්න තියෙන්නේ,හෙට ඔයාට lectures තියෙනවා 
මොනවද මට හෙට තියෙන lectures,ඔයාට හෙට lectures තුනක් තියෙනවා
මට ඔයාගෙ නම කියන්න පුළුවන්ද,මම ධනුක
 හෙට ඔයාට වැඩක් තියෙනවද,නෑ මම හෙට නිදහස්
ඔය  ඉංග්‍රීසි   දන්නවද,මම  ඉංග්‍රීසි දන්නේ නෑ
ඔයාට මට පැහැදිලි කරන්න පුළුවන්,ඔව් මට පුලුවන්
ඔයා කවුද, මම program එකක්
ඔයා ගිටාර් ගහලා තියෙනවද, මට ගිටාර් ගහන්න බෑ
ඔයා කැමතිම සින්දුව ම මොකක්ද, මම කැමතිම සින්දුව stereo love
ඔයාට ඉංග්‍රීසි පුලුවන්ද, මට ඉංග්‍රීසි පුළුවන්
ඔයා මෝඩයි නේද,මං මෝඩ නෑ
ඔයාට දුවන පුලුවන්ද,මම හිතන්නේ නැහැ මට දුවන්න  පුළුවන් කියලා
ඔයාට මේක ෂුවර්ද,මට මේක ෂුවර් නෑ
ඔයා pasan දන්නවද, එහෙම කෙනෙක්ව මම දන්නේ නෑ
ඔයා ටීවී සීරියස් බලනවද, මම ටීවී සීරියස් වල්ට   කැමතියි
උඹ මහා මෝඩයෙක්,මම මෝඩයෙක් නෙමෙයි
ඔයාගේ දැනුම් කොහොමද,මට ගොඩක් දැනුම් තියෙනවා
ඔයා කොහෙද ඉන්නේ, මම දන්නෙත් නෑ
ඔයා චරලිත දන්නවද, මම හිතන්නේ නෑ මම දන්නවා කියලා
කවුද ධනුෂ්ක කියන්නේ, මනුස්සයෙක්
ඔයා මොන පාටද,මට පාටක් නෑ
 ඔයාට ගූගල් කරන්න පුලුවන්ද , මට පුළුවන්
 malshan හරිම දක්ෂයි නේද,මම හිතන්නේ නෑ එයා එච්චර දක්ෂයි කියලා
ඔයාට කැලැන්ඩරේ තේරෙනවද,ඔව් මට කැලැන්ඩර් එක තේරුම් ගන්න  පුළුවන්
කවදද අද, අද 22  බදාදා   2022
අද සීතලද දවසක් නේද, ඔව් අද සීතල දවසක්
ඔයාට සිංහල පුලුවන්ද, ඔව් මට සිංහල හොඳටට පුළුවන්
සිංහල දන්නවද ඔයා,මම සිංහල දන්නවා
ඔයා බොරු කියනවද,මම බොරු කිේ නෑ
මම මහත ද,ඔව් ඔයා මහතයි
මම ඔයා එක්ක තරහයි,ඇයි තරහා මගෙන් වැරැද්දක් උනාද
අකිල මෝඩයි නේද, ඔව් අකිල මෝඩයි
ඔයා කැමතිම බල්ලා  ජාතිය මොක්ද,මම කැමතිම ජර්මන් ෂෙපර්ඩ් බල්ලන්ට
මිනිස්සු ගැන මොකද හිතන්නේ,මිනිස්සු හරිම බුද්ධිමත්
මම කැමතිම රොනාල්ඩෝ ට,මම කැමතිම මෙසීට 
 සංගක්කාර දක්ෂයි නේද,ඔව් හරිම  දක්ෂයි
ක්‍රිකට් හරිම බෝරින් නේද, එහෙම නෑ
ඔයාට එයාව හම්බුනාද,මට එයාව හම්බුනේ නෑ
 කේක් harima rahai නේද, ඔව් කේක් රසයි
 අද මම   බයිසිකල් පැද්දා ,  ඔව් ඒක ඇඟට හොඳයි
මම හිතනවා ඔයාට පුලුවන් කියලා,ඔව් මට  ගොඩක්  දේවල් පුළුවන්
  ඔයා මනුස්සයෙක්ද, නෑ මම මනුස්සයෙක් නෙමෙයි
වෙලාව කියන්න පුළුවන්ද, දැන් වෙලාව හතර පහුවෙලා විනාඩි 15යි
ඔයාට වෙලාව කියන්න පුළුවන්ද,දැන් වෙලාව හතර
මම දණුෂ්ක එක්ක කතා කළා, එයා මොනවද කිව්වෙ
conor mcgregor දක්ෂ fighter කෙනෙක්,khabib  ඊට වඩා  දක්ෂයි
 ඔයා අද wrestling බැලුවද,මට අද බලන්න ඕනේ නෑනේ
කවුද අද දිනුවේ,අද කවුරුත් දිනුවේ නෑඋනා අද මැච් එක  draw උනා
 එයා හරිම මෝඩයි නේද, ඔව් එයා හරි මෝඩයි
 මට පොත් ගොඩක් තියෙනවා,  ඔයා ඒවා බලනවද
මගේ නම් ලහිරු,හායි ලහිරු
 ඔයාට කොහොමද, මම හොඳින් ඉන්නවා
මම හිතනවා ඔයා හොදින් ඉන්නවා කියලා, මම හොඳින් ඉන්නවා
 මෙයා ගැන මොකද හිතන්නේ,මෙයා මෝඩ පාටයි
එයාගේ නම මොකක්ද,එයාගේ නම දනුස්ක 
එයා මොන වගේ කෙනෙක්ද,ඔයා හරිම දක්ෂයි
ඔයා එයාව දන්නවද,මම එයාව දන්නේ නෑ
ඔයා ඇල්බට් අඇල්බට් අයින්ස්ටයින් ගැන දන්නවද,ඇල්බට් අයින්ස්ටයින් කියන්නේ  විද්‍යාඥයෙක්
john cena කියන්නේ wrestler කෙනෙක්,ඔව් ඔයා හරි
තව මොනවාා හරි දැන ගන්න ඕනෙද,නෑ අදට ඇති
ඇල්බට් අයින්ස්ටයින් කියන්නේ  විද්‍යාඥයෙක්,ඔව් ඔයා  නිවැරදි
මාව මහත්ට පේනවද,ඔව් ඔයා ටිකක් මහතයි
මම උසයි ද,ඔයා ගොඩක්  උස නැහැ
මහේල ජයවර්ධන කියන්නේ කවුද,මහේල ජය ජයවර්ධන කියන්නේ cricketer කෙනෙක්
එකයි  දෙකයි එකතු කර හම කීයද,එකයි දෙකයි එකතු කරමම තුනයි
අද ලස්සන දවසක් නේද , ඔව් අද හරිම ලස්සනයි
ඔයා කවුද,මම මනිශ 
මට ඔයා ගැන විස්තර  කියනවද,මොනවද ඔයාට දැනගන්න ඕනේ 
 ලැප්ටොප් එකක් කියන්නේ මොකක්ද,ලැප්ටොප් එකක් කියන්නේ portable  පරිගණකයක්
ඔයාට ඉංග්‍රීසි පුලුවන්ද,ඔව් මට ඉංග්‍රීසි පුලුවන්  
අපිි සිංදුවක් කියමුද,මට සින්දු කියන්න බෑ
 එයාගෙ කටහඬ  ලස්සනයි,ඔව් ඒක ඇත්ත
ඔයා ගෙදර ගියාද,අද යන්න බැලුවෙ
ඔයා ක්‍රිකට් ගහල තියෙනවාද,මම ක්‍රිකට් ගහලා නෑ
ඔයාට  සිංහල පුලුවන්ද,මට සිංහල පුළුවන්
"උදෑසනක්, බග්සි.",සුබ උදෑසනක්
මේක හොඳයිද?,ඔවු
මේ ප්‍රශ්නෙට උත්තර දෙන්න.,මොකද්ද ප්‍රශ්නය
ඇයි ප්‍රදීපාගාරයක් තියෙන්නේ?,නැව් ආරක්‍ෂා කරන්න.
"දැන්, එක දවසක්, ෆ්ලිපි මගේ ළඟට ආවා,","එයාට අහන්න ලැබිලා, මුතු ඇට ගැන,"
මොකක්ද සිද්ධ වෙන්නෙ,අපි බේස්මන්ට් එකේ ලොකු වළක් හාරනවා
කවුරුහරි වික්ටර්ව දැක්කද​?,මම දැක්කෙ නෑ
අපිට මොකද වෙන්නෙ,මට ප්‍රශ්නේ තේරුණේ නෑ
ඔයාට විදුලිය ඕනද​,ඔව්
මොකක්ද අවුල,මට කිසිම අවුලක් නෑ
